tau_bin,distance_bin,trade_count,avg_implied_prob,actual_win_rate,magnetism_penalty
0.0,0.0,1231,0.4984321689683184,0.3436230706742486,0.1548090982940698
0.0,5.0,1892,0.49893763213530656,0.39006342494714585,0.10887420718816071
0.0,10.0,2054,0.4840993184031157,0.3646543330087634,0.11944498539435233
0.0,15.0,1703,0.48469759248385214,0.37522019964768055,0.10947739283617158
0.0,20.0,2333,0.47610801543077574,0.4127732533219031,0.06333476210887262
0.0,25.0,2681,0.49154419992540105,0.41365162252890714,0.07789257739649391
0.0,30.0,3426,0.48600408639813214,0.411266783420899,0.07473730297723313
0.0,35.0,4173,0.5035442127965493,0.43134435657800146,0.0721998562185478
0.0,40.0,8110,0.5098791615289764,0.4688039457459926,0.04107521578298379
0.0,45.0,20270,0.4726936359151455,0.46334484459792796,0.009348791317217553
0.0,50.0,85357,0.499655447122086,0.49927949670208654,0.0003759504199994379
1.0,0.0,10969,0.49978028990792267,0.5166377974291184,-0.016857507521195747
1.0,5.0,21551,0.5011781355853555,0.5138972669481695,-0.012719131362813996
1.0,10.0,20554,0.49492799455093905,0.4974700788167753,-0.002542084265836242
1.0,15.0,21949,0.4964804774704986,0.4915485899129801,0.0049318875575184995
1.0,20.0,24336,0.4909956443129523,0.47053747534516766,0.02045816896778463
1.0,25.0,26283,0.49437316896853467,0.47072252026024425,0.023650648708290423
1.0,30.0,30984,0.48914665633875504,0.48767105602891814,0.0014756003098368997
1.0,35.0,37945,0.4769374094083536,0.4702859401765713,0.006651469231782281
1.0,40.0,59491,0.4865342656872473,0.480644131045032,0.005890134642215272
1.0,45.0,115538,0.4951594280669568,0.48406584846543993,0.011093579601516856
1.0,50.0,210555,0.5019681793355595,0.5002968345562917,0.0016713447792677805
2.0,0.0,17914,0.4996153846153846,0.4575750809422798,0.042040303673104795
2.0,5.0,36696,0.49978144756921805,0.4973566601264443,0.002424787442773746
2.0,10.0,37704,0.5048260131551034,0.4863409717801825,0.018485041374920963
2.0,15.0,38911,0.5033049780267814,0.49680039063503895,0.006504587391742478
2.0,20.0,41460,0.5148671008200695,0.5087313072841293,0.006135793535940182
2.0,25.0,44251,0.5255365980429823,0.5121014214368037,0.013435176606178545
2.0,30.0,51684,0.5181700332791576,0.5240499961303304,-0.005879962851172871
2.0,35.0,64055,0.5026625556162668,0.5069393489969557,-0.00427679338068887
2.0,40.0,90404,0.49070417238174957,0.48945843104287423,0.0012457413388753391
2.0,45.0,158160,0.5041891755184641,0.4975214972180071,0.006667678300457003
2.0,50.0,178360,0.5009119197129402,0.5003756447633999,0.0005362749495403385
3.0,0.0,21847,0.49945667597381815,0.48194260081475715,0.017514075159061004
3.0,5.0,42619,0.5012961355264073,0.5134564396161336,-0.012160304089726348
3.0,10.0,45375,0.5067028099173532,0.5260165289256198,-0.019313719008266617
3.0,15.0,49190,0.50532486277699,0.5245984956291929,-0.01927363285220296
3.0,20.0,50657,0.5113413743411591,0.53161458436149,-0.02027321002033089
3.0,25.0,54341,0.507666402900204,0.4959238880403379,0.01174251485986616
3.0,30.0,64109,0.5084552870891768,0.4823503720226489,0.026104915066527845
3.0,35.0,73660,0.5143240564756999,0.4970404561498778,0.0172836003258221
3.0,40.0,99084,0.5040296112389491,0.49247103467764725,0.011558576561301825
3.0,45.0,175633,0.4921692392659697,0.486702385087085,0.005466854178884706
3.0,50.0,135341,0.5110425517766248,0.5105695982739894,0.00047295350263543146
4.0,0.0,22757,0.5004372281056375,0.5079316254339324,-0.007494397328294933
4.0,5.0,46222,0.5034622041452105,0.5162476742676647,-0.012785470122454234
4.0,10.0,50480,0.5032682250396183,0.5253961965134707,-0.02212797147385237
4.0,15.0,53573,0.5035986411065281,0.526925876840946,-0.023327235734417973
4.0,20.0,59512,0.5096452816238742,0.5188701438365372,-0.009224862212662943
4.0,25.0,64962,0.5070481204396419,0.4919799267263939,0.015068193713247968
4.0,30.0,73465,0.5024724698836194,0.49013816102906144,0.01233430885455794
4.0,35.0,86117,0.5056866820720638,0.4985775166343463,0.007109165437717502
4.0,40.0,113973,0.4948185973871002,0.4872733015714248,0.0075452958156754235
4.0,45.0,160243,0.493505488539284,0.493219672622205,0.0002858159170789909
4.0,50.0,90041,0.5038742350706906,0.5043480192356815,-0.00047378416499088694
5.0,0.0,29374,0.5002413699189758,0.5253625655341458,-0.02512119561517001
5.0,5.0,56272,0.5026865936878004,0.5395756326414558,-0.03688903895365536
5.0,10.0,62199,0.5033461952764474,0.534188652550684,-0.030842457274236623
5.0,15.0,62752,0.5005958375828664,0.5186448240693524,-0.018048986486486007
5.0,20.0,67241,0.5070949272021521,0.5009443643015422,0.0061505629006098905
5.0,25.0,70443,0.5019519327683376,0.4760018738554576,0.025950058912879992
5.0,30.0,83996,0.49893030620505846,0.47595123577313203,0.02297907043192643
5.0,35.0,94127,0.4933352810564447,0.4915805241854091,0.001754756871035601
5.0,40.0,120089,0.49862934989882407,0.49873010850286037,-0.00010075860403629955
5.0,45.0,148271,0.5089623729522315,0.5054393644070655,0.003523008545165962
5.0,50.0,56683,0.5050463101811818,0.5071185364218549,-0.0020722262406730474
6.0,0.0,27507,0.4998127749300179,0.48685789071872615,0.012954884211291762
6.0,5.0,58631,0.5010284661697724,0.5198615067114666,-0.018833040541694213
6.0,10.0,60580,0.502144932320894,0.4922416639154837,0.009903268405410282
6.0,15.0,65336,0.4982172156238525,0.48766376882576223,0.010553446798090282
6.0,20.0,67763,0.4930469430220018,0.5046854478107522,-0.011638504788750392
6.0,25.0,68643,0.4951627988287223,0.49882726570808383,-0.003664466879361561
6.0,30.0,79779,0.49464633550182485,0.5083793980872159,-0.013733062585391032
6.0,35.0,91607,0.49094392349929816,0.48112043839444585,0.009823485104852314
